Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
wb_aliq_4_bl_as,whole_blood_post_shipping_storage,Whole Blood - Aliquot 4,text,Whole Blood Aliquot ID 4,,,,,,,,,,,,,"@DEFAULT='[baseline_arm_1][wb_aliq_4]'@HIDDEN"
vol_wb_shpaliq4_bl_as,whole_blood_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,"@DEFAULT ='0'@HIDDEN"
vol_wb_aliq_4_bl_as,whole_blood_post_shipping_storage,,calc,Volume (in ml),"if([baseline_arm_1][process_wb_aliq_4] ='1',[baseline_arm_1][rem_vol_wb_aliq_4],[baseline_arm_1][vol_wb_aliq_4]) -[shipping_arm_1][vol_wb_shpaliq4_bl_as]",,,,,,,,,,,,@HIDDEN
fzr_loc_wb_aliq4_bl_as,whole_blood_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,"@DEFAULT='[baseline_arm_1][fzr_loc_wb_aliq4]'@HIDDEN"
fzr_num_wb_aliq4_bl_as,whole_blood_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,"@DEFAULT='[baseline_arm_1][fzr_num_wb_aliq4]'@HIDDEN"
box_wb_aliq4_bl_as,whole_blood_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,"@DEFAULT='[baseline_arm_1][box_wb_aliq4]'@HIDDEN"
row_wb_aliq4_bl_as,whole_blood_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,"@DEFAULT='[baseline_arm_1][row_wb_aliq4]'@HIDDEN"
column_wb_aliq4_bl_as,whole_blood_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,"@DEFAULT='[baseline_arm_1][column_wb_aliq4]'@HIDDEN"
loc_wb_4_bl_as,whole_blood_post_shipping_storage,,descriptive,Location - Freezer : [baseline_arm_1][fzr_loc_wb_aliq4]Freezer Number : [baseline_arm_1][fzr_num_wb_aliq4]Location - Box : [baseline_arm_1][box_wb_aliq4]Location - Row : [baseline_arm_1][row_wb_aliq4]Location - Column : [baseline_arm_1][column_wb_aliq4],,,,,,,,,,,,,@HIDDEN
wb_aliq_1_v2_as,whole_blood_post_shipping_storage,"Visit 2 - Whole Blood - Whole Blood - Aliquot 1",text,Whole Blood Aliquot ID 1,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][wb_aliq_1]'@HIDDEN"
vol_wb_shpaliq1_v2_as,whole_blood_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,"@DEFAULT ='0'@HIDDEN"
vol_wb_aliq_1_v2_as,whole_blood_post_shipping_storage,,calc,Volume (in ml),"if([visit_2_arm_1][process_wb_aliq_1] ='1',[visit_2_arm_1][rem_vol_wb_aliq_1],[visit_2_arm_1][vol_wb_aliq_1]) -[shipping_arm_1][vol_wb_shpaliq1_v2_as]",,,,,,,,,,,,@HIDDEN
fzr_loc_wb_aliq1_v2_as,whole_blood_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_loc_wb_aliq1]'@HIDDEN"
fzr_num_wb_aliq1_v2_as,whole_blood_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_num_wb_aliq1]'@HIDDEN"
box_wb_aliq1_v2_as,whole_blood_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][box_wb_aliq1]'@HIDDEN"
row_wb_aliq1_v2_as,whole_blood_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][row_wb_aliq1]'@HIDDEN"
column_wb_aliq1_v2_as,whole_blood_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][column_wb_aliq1]'@HIDDEN"
loc_wb_1_v2_as,whole_blood_post_shipping_storage,,descriptive,Location - Freezer : [visit_2_arm_1][fzr_loc_wb_aliq1]Freezer Number : [visit_2_arm_1][fzr_num_wb_aliq1]Location - Box : [visit_2_arm_1][box_wb_aliq1]Location - Row : [visit_2_arm_1][row_wb_aliq1]Location - Column : [visit_2_arm_1][column_wb_aliq1],,,,,,,,,,,,,@HIDDEN
wb_aliq_2_v2_as,whole_blood_post_shipping_storage,Whole Blood - Aliquot 2,text,Whole Blood Aliquot ID 2 ,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][wb_aliq_2]'@HIDDEN"
vol_wb_shpaliq2_v2_as,whole_blood_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,"@DEFAULT ='0'@HIDDEN"
vol_wb_aliq_2_v2_as,whole_blood_post_shipping_storage,,calc,Volume (in ml),"if([visit_2_arm_1][process_wb_aliq_2] ='1',[visit_2_arm_1][rem_vol_wb_aliq_2],[visit_2_arm_1][vol_wb_aliq_2]) -[shipping_arm_1][vol_wb_shpaliq2_v2_as]",,,,,,,,,,,,@HIDDEN
fzr_loc_wb_aliq2_v2_as,whole_blood_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_loc_wb_aliq2]'@HIDDEN"
fzr_num_wb_aliq2_v2_as,whole_blood_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_num_wb_aliq2]'@HIDDEN"
box_wb_aliq2_v2_as,whole_blood_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][box_wb_aliq2]'@HIDDEN"
row_wb_aliq2_v2_as,whole_blood_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][row_wb_aliq2]'@HIDDEN"
column_wb_aliq2_v2_as,whole_blood_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][column_wb_aliq2]'@HIDDEN"
loc_wb_2_v2_as,whole_blood_post_shipping_storage,,descriptive,"Location - Freezer : [visit_2_arm_1][fzr_loc_wb_aliq2]Freezer Number : [visit_2_arm_1][fzr_num_wb_aliq2]Location - Box : [visit_2_arm_1][box_wb_aliq2]Location - Row : [visit_2_arm_1][row_wb_aliq2]Location - Column : [visit_2_arm_1][column_wb_aliq2]",,,,,,,,,,,,,@HIDDEN
wb_aliq_3_v2_as,whole_blood_post_shipping_storage,Whole Blood - Aliquot 3,text,Whole Blood Aliquot ID 3,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][wb_aliq_3]'@HIDDEN"
vol_wb_shpaliq3_v2_as,whole_blood_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,"@DEFAULT ='0'@HIDDEN"
vol_wb_aliq_3_v2_as,whole_blood_post_shipping_storage,,calc,Volume (in ml),"if([visit_2_arm_1][process_wb_aliq_3] ='1',[visit_2_arm_1][rem_vol_wb_aliq_3],[visit_2_arm_1][vol_wb_aliq_3]) -[shipping_arm_1][vol_wb_shpaliq3_v2_as]",,,,,,,,,,,,@HIDDEN
fzr_loc_wb_aliq3_v2_as,whole_blood_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_loc_wb_aliq3]'@HIDDEN"
fzr_num_wb_aliq3_v2_as,whole_blood_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_num_wb_aliq3]'@HIDDEN"
box_wb_aliq3_v2_as,whole_blood_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][box_wb_aliq3]'@HIDDEN"
row_wb_aliq3_v2_as,whole_blood_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][row_wb_aliq3]'@HIDDEN"
column_wb_aliq3_v2_as,whole_blood_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][column_wb_aliq3]'@HIDDEN"
loc_wb_3_v2_as,whole_blood_post_shipping_storage,,descriptive,"Location - Freezer : [visit_2_arm_1][fzr_loc_wb_aliq3]Freezer Number : [visit_2_arm_1][fzr_num_wb_aliq3]Location - Box : [visit_2_arm_1][box_wb_aliq3]Location - Row : [visit_2_arm_1][row_wb_aliq3]Location - Column : [visit_2_arm_1][column_wb_aliq3]",,,,,,,,,,,,,@HIDDEN
wb_aliq_4_v2_as,whole_blood_post_shipping_storage,Whole Blood - Aliquot 4,text,Whole Blood Aliquot ID 4,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][wb_aliq_4]'@HIDDEN"
vol_wb_shpaliq4_v2_as,whole_blood_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,"@DEFAULT ='0'@HIDDEN"
vol_wb_aliq_4_v2_as,whole_blood_post_shipping_storage,,calc,Volume (in ml),"if([visit_2_arm_1][process_wb_aliq_4] ='1',[visit_2_arm_1][rem_vol_wb_aliq_4],[visit_2_arm_1][vol_wb_aliq_4]) -[shipping_arm_1][vol_wb_shpaliq4_v2_as]",,,,,,,,,,,,@HIDDEN
fzr_loc_wb_aliq4_v2_as,whole_blood_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_loc_wb_aliq4]'@HIDDEN"
fzr_num_wb_aliq4_v2_as,whole_blood_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][fzr_num_wb_aliq4]'@HIDDEN"
box_wb_aliq4_v2_as,whole_blood_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][box_wb_aliq4]'@HIDDEN"
row_wb_aliq4_v2_as,whole_blood_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][row_wb_aliq4]'@HIDDEN"
column_wb_aliq4_v2_as,whole_blood_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,"@DEFAULT='[visit_2_arm_1][column_wb_aliq4]'@HIDDEN"
loc_wb_4_v2_as,whole_blood_post_shipping_storage,,descriptive,"Location - Freezer : [visit_2_arm_1][fzr_loc_wb_aliq4]Freezer Number : [visit_2_arm_1][fzr_num_wb_aliq4]Location - Box : [visit_2_arm_1][box_wb_aliq4]Location - Row : [visit_2_arm_1][row_wb_aliq4]Location - Column : [visit_2_arm_1][column_wb_aliq4]",,,,,,,,,,,,,@HIDDEN
tot_vol_wb_aliq_bl_as,whole_blood_post_shipping_storage,Whole Blood - Final Volume after shipping,calc,Total Volume of Whole Blood aliquots (Baseline after Shipping),"rounddown(sum([vol_wb_aliq_1_bl_as],[vol_wb_aliq_2_bl_as],[vol_wb_aliq_3_bl_as],[vol_wb_aliq_4_bl_as]),2)",,,,,,,,,,,,@HIDDEN
tot_vol_wb_aliq_v2_as,whole_blood_post_shipping_storage,,calc,Total Volume of Whole Blood aliquots  (Visit 2 after Shipping),"sum([vol_wb_aliq_1_v2_as],[vol_wb_aliq_2_v2_as],[vol_wb_aliq_3_v2_as],[vol_wb_aliq_4_v2_as])",,,,,,,,,,,,@HIDDEN
wb_date_entered,whole_blood_post_shipping_storage,,text,Date Entered,,,date_ymd,,,,,,,,,,
pl_aliq_1_bl_as,blood_plasma_post_shipping_storage,"Baseline VisitBlood Plasma - Aliquot 1",text,Plasma Aliquot ID 1,,"sample ID is composed  of combination of sample type, Unique Subject Code,visit number, and cryovial number",,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_1]'
pl_aliq_1_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed(and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq1_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_1_bl_as,blood_plasma_post_shipping_storage,,text,Volume(in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq1_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_loc_pl_aliq1]'
fzr_num_pl_aliq1_bl_as,blood_plasma_post_shipping_storage,,text, Freezer Number,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_num_pl_aliq1]'
box_pl_aliq1_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][box_pl_aliq1]'
row_pl_aliq1_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][row_pl_aliq1]'
column_pl_aliq1_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][column_pl_aliq1]'
loc_pl_1_bl_as,blood_plasma_post_shipping_storage,,descriptive,Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq1]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq1]Location - Box : [baseline_arm_1][box_pl_aliq1]Location - Row : [baseline_arm_1][row_loc_pl_aliq1]Location - Column : [baseline_arm_1][column_pl_aliq1],,,,,,,,,,,,,@HIDDEN
pl_aliq_2_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 2,text,Plasma Aliquot ID 2,,"sample ID is composed  of combination of sample type, Unique Subject Code,visit number, and cryovial number",,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_2]'
pl_aliq_2_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq2_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_2_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq2_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_loc_pl_aliq2]'
fzr_num_pl_aliq2_bl_as,blood_plasma_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_num_pl_aliq2]'
box_pl_aliq2_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][box_pl_aliq2]'
row_pl_aliq2_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][row_pl_aliq2]'
column_pl_aliq2_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][column_pl_aliq2]'
loc_pl_2_bl_as,blood_plasma_post_shipping_storage,,descriptive,"Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq2]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq2]Location - Box : [baseline_arm_1][box_pl_aliq2]Location - Row : [baseline_arm_1][row_loc_pl_aliq2]Location - Column : [baseline_arm_1][column_pl_aliq2]",,,,,,,,,,,,,@HIDDEN
pl_aliq_3_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 3,text,Plasma Aliquot ID 3,,"sample ID is composed  of combination of sample type, Unique Subject Code,visit number, and cryovial number",,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_3]'
pl_aliq_3_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq3_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_3_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq3_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_loc_pl_aliq3]'
fzr_num_pl_aliq3_bl_as,blood_plasma_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_num_pl_aliq3]'
box_pl_aliq3_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][box_pl_aliq3]'
row_pl_aliq3_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][row_pl_aliq3]'
column_pl_aliq3_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][column_pl_aliq3]'
loc_pl_3_bl_as,blood_plasma_post_shipping_storage,,descriptive,"Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq3]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq3]Location - Box : [baseline_arm_1][box_pl_aliq3]Location - Row : [baseline_arm_1][row_loc_pl_aliq3]Location - Column : [baseline_arm_1][column_pl_aliq3]",,,,,,,,,,,,,@HIDDEN
pl_aliq_4_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 4 ,text,Plasma Aliquot ID 4,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_4]'
pl_aliq_4_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq4_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_4_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq4_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_loc_pl_aliq4]'
fzr_num_pl_aliq4_bl_as,blood_plasma_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_num_pl_aliq4]'
box_pl_aliq4_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][box_pl_aliq4]'
row_pl_aliq4_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][row_pl_aliq4]'
column_pl_aliq4_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][column_pl_aliq4]'
loc_pl_4_bl_as,blood_plasma_post_shipping_storage,,descriptive,"Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq4]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq4]Location - Box : [baseline_arm_1][box_pl_aliq4]Location - Row : [baseline_arm_1][row_loc_pl_aliq4]Location - Column : [baseline_arm_1][column_pl_aliq4]",,,,,,,,,,,,,@HIDDEN
pl_aliq_5_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 5,text,Plasma Aliquot ID 5,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_5]'
pl_aliq_5_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq5_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_5_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq5_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_loc_pl_aliq5]'
fzr_num_pl_aliq5_bl_as,blood_plasma_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_num_pl_aliq5]'
box_pl_aliq5_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][box_pl_aliq5]'
row_pl_aliq5_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][row_pl_aliq5]'
column_pl_aliq5_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][column_pl_aliq5]'
loc_pl_5_bl_as,blood_plasma_post_shipping_storage,,descriptive,"Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq5]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq5]Location - Box : [baseline_arm_1][box_pl_aliq5]Location - Row : [baseline_arm_1][row_loc_pl_aliq5]Location - Column : [baseline_arm_1][column_pl_aliq5]",,,,,,,,,,,,,@HIDDEN
pl_aliq_6_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 6,text,Plasma Aliquot ID 6,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_6]'
pl_aliq_6_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq6_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_6_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq6_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_loc_pl_aliq6]'
fzr_num_pl_aliq6_bl_as,blood_plasma_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_num_pl_aliq6]'
box_pl_aliq6_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][box_pl_aliq6]'
row_pl_aliq6_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][row_pl_aliq6]'
column_pl_aliq6_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][column_pl_aliq6]'
loc_pl_6_bl_as,blood_plasma_post_shipping_storage,,descriptive,"Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq6]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq6]Location - Box : [baseline_arm_1][box_pl_aliq6]Location - Row : [baseline_arm_1][row_loc_pl_aliq6]Location - Column : [baseline_arm_1][column_pl_aliq6]",,,,,,,,,,,,,@HIDDEN
pl_aliq_7_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 7,text,Plasma Aliquot ID 7,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_7]'
pl_aliq_7_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq7_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_7_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq7_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_loc_pl_aliq7]'
fzr_num_pl_aliq7_bl_as,blood_plasma_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][fzr_num_pl_aliq7]'
box_pl_aliq7_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][box_pl_aliq7]'
row_pl_aliq7_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][row_pl_aliq7]'
column_pl_aliq7_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][column_pl_aliq7]'
loc_pl_7_bl_as,blood_plasma_post_shipping_storage,,descriptive,"Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq7]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq7]Location - Box : [baseline_arm_1][box_pl_aliq7]Location - Row : [baseline_arm_1][row_loc_pl_aliq7]Location - Column : [baseline_arm_1][column_pl_aliq7]",,,,,,,,,,,,,@HIDDEN
pl_aliq_8_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 8,text,Plasma Aliquot ID 8,,,,,,,,,,,,,@DEFAULT='[baseline_arm_1][pl_aliq_8]'
pl_aliq_8_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq8_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_8_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq8_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT= '[baseline_arm_1][fzr_loc_pl_aliq8]'
fzr_num_pl_aliq8_bl_as,blood_plasma_post_shipping_storage,,text,Freezer Number,,,,,,,,,,,,,@DEFAULT= '[baseline_arm_1][fzr_num_pl_aliq8]'
box_pl_aliq8_bl_as,blood_plasma_post_shipping_storage,,text,Location - Box,,,,,,,,,,,,,@DEFAULT= '[baseline_arm_1][box_pl_aliq8]'
row_pl_aliq8_bl_as,blood_plasma_post_shipping_storage,,text,Location - Row,,,,,,,,,,,,,@DEFAULT= '[baseline_arm_1][row_pl_aliq8]'
column_pl_aliq8_bl_as,blood_plasma_post_shipping_storage,,text,Location - Column,,,,,,,,,,,,,@DEFAULT= '[baseline_arm_1][column_pl_aliq8]'
loc_pl_8_bl_as,blood_plasma_post_shipping_storage,,descriptive,"Location - Freezer : [baseline_arm_1][fzr_loc_pl_aliq8]Freezer Number : [baseline_arm_1][fzr_num_pl_aliq8]Location - Box : [baseline_arm_1][box_pl_aliq8]Location - Row : [baseline_arm_1][row_loc_pl_aliq8]Location - Column : [baseline_arm_1][column_pl_aliq8]",,,,,,,,,,,,,@HIDDEN
pl_aliq_9_bl_bl_as,blood_plasma_post_shipping_storage,Blood Plasma - Aliquot 9,text,Plasma Aliquot ID 9,,,,,,,,,,,,,@DEFAULT=' [baseline_arm_1][pl_aliq_9]'
pl_aliq_9_bl_as_thw,blood_plasma_post_shipping_storage,,text,Number of times the sample has been thawed (and refrozen),,,,,,,,,,,,,
vol_pl_shpaliq9_bl_as,blood_plasma_post_shipping_storage,,text,Volume Shipped(in ml),, Enter '0' if sample is not shipped.,number,,,,,,,,,,@DEFAULT ='0'
vol_pl_aliq_9_bl_as,blood_plasma_post_shipping_storage,,text,Volume (in ml),,,,,,,,y,,,,,
fzr_loc_pl_aliq9_bl_as,blood_plasma_post_shipping_storage,,text,Location - Freezer,,,,,,,,,,,,,@DEFAULT='[baselne_arm_1][fzr_loc_pl_aliq9]'
